alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.200000,0.480000,1,270454902,7.7965791196e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,2,270454903,7.9276614083e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,3,270454904,7.7546444463e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,4,270454905,7.7499328284e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,5,270454906,7.8387303655e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,6,270454907,7.8107431506e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,7,270454908,7.8768877615e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,8,270454909,7.8237009952e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,9,270454910,7.8107766764e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,10,270454911,7.7800993430e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,11,270454912,7.7874340118e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,12,270454913,7.8715130136e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,13,270454914,7.8767801873e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,14,270454915,7.7704640442e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,15,270454916,7.7940699656e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,16,270454917,7.7731230231e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,17,270454918,7.7597318512e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,18,270454919,7.8937467481e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,19,270454920,7.7476725506e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.480000,20,270454921,7.7487407886e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
