alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.200000,0.290000,1,270453002,6.5337446585e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,2,270453003,6.5644735740e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,3,270453004,6.5427914122e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,4,270453005,6.4930547698e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,5,270453006,6.5145864228e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,6,270453007,6.5570720558e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,7,270453008,6.4394044333e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,8,270453009,6.4735725044e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,9,270453010,6.5709878920e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,10,270453011,6.5154396193e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,11,270453012,6.4580672929e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,12,270453013,6.4695204061e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,13,270453014,6.5868679757e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,14,270453015,6.5480321945e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,15,270453016,6.3794740132e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,16,270453017,6.4120995975e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,17,270453018,6.5517812893e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,18,270453019,6.3458100688e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,19,270453020,6.5429995432e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.290000,20,270453021,6.5727400792e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
