alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.100000,0.930000,1,770359402,9.5681640285e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,2,770359403,9.6088940915e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,3,770359404,9.5965282103e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,4,770359405,9.5362763830e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,5,770359406,9.5627277627e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,6,770359407,9.6160286975e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,7,770359408,9.6056076076e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,8,770359409,9.5481132516e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,9,770359410,9.6386261460e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,10,770359411,9.7006812841e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,11,770359412,9.6333116970e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,12,770359413,9.6371572332e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,13,770359414,9.6173751093e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,14,770359415,9.6381346810e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,15,770359416,9.5996764929e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,16,770359417,9.5914684255e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,17,770359418,9.6311634913e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,18,770359419,9.6234293445e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,19,770359420,9.6325323667e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.930000,20,770359421,9.6200840032e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
