alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.200000,0.790000,1,770458002,9.2238551972e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,2,770458003,9.2187458240e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,3,770458004,9.1998682044e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,4,770458005,9.1981664134e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,5,770458006,9.2206131668e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,6,770458007,9.1615327031e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,7,770458008,9.1925676188e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,8,770458009,9.0922589680e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,9,770458010,9.1316913768e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,10,770458011,9.0946333550e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,11,770458012,9.1913662110e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,12,770458013,9.1368518714e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,13,770458014,9.1537275460e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,14,770458015,9.1705665067e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,15,770458016,9.2037061584e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,16,770458017,9.1150583441e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,17,770458018,9.1605635649e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,18,770458019,9.2160497716e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,19,770458020,9.1478296412e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.790000,20,770458021,9.2340111808e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
