alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.000000,0.090000,1,270251002,5.2052523983e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,2,270251003,5.1593861689e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,3,270251004,5.2862364123e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,4,270251005,5.3285847072e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,5,270251006,5.1051382669e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,6,270251007,5.1589651465e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,7,270251008,5.2335515582e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,8,270251009,5.3169806204e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,9,270251010,5.2222964019e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,10,270251011,5.3310280004e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,11,270251012,5.2130923796e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,12,270251013,5.2916901677e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,13,270251014,5.0787325112e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,14,270251015,5.2393865136e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,15,270251016,5.1822352784e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,16,270251017,5.2157089668e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,17,270251018,5.2781837950e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,18,270251019,5.2920943458e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,19,270251020,5.3313487874e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.090000,20,270251021,5.1639188843e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
