alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.500000,0.200000,0.570000,1,520455802,8.3298634256e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,2,520455803,8.2308764961e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,3,520455804,8.2649900072e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,4,520455805,8.2853834707e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,5,520455806,8.3705555391e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,6,520455807,8.2668265790e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,7,520455808,8.2737850640e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,8,520455809,8.4072570352e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,9,520455810,8.2917971674e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,10,520455811,8.3073840193e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,11,520455812,8.3474810424e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,12,520455813,8.3145928929e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,13,520455814,8.2829607140e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,14,520455815,8.2811672515e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,15,520455816,8.4238032068e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,16,520455817,8.2109059591e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,17,520455818,8.2982469550e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,18,520455819,8.3337371438e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,19,520455820,8.3417116682e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.570000,20,520455821,8.2772993573e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
