alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.500000,0.100000,0.560000,1,520355702,8.2522851286e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,2,520355703,8.1832438636e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,3,520355704,8.2286224066e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,4,520355705,8.2234136014e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,5,520355706,8.1982232908e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,6,520355707,8.1678523072e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,7,520355708,8.1628750342e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,8,520355709,8.2310026580e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,9,520355710,8.2089527655e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,10,520355711,8.2623767141e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,11,520355712,8.1690763613e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,12,520355713,8.2285367924e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,13,520355714,8.1960860912e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,14,520355715,8.2802053605e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,15,520355716,8.1395686477e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,16,520355717,8.1968416983e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,17,520355718,8.2040025523e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,18,520355719,8.2243898932e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,19,520355720,8.2557254771e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.100000,0.560000,20,520355721,8.2308269170e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
