alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.100000,0.720000,1,270357302,8.7806198059e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,2,270357303,8.7837673598e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,3,270357304,8.8467293077e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,4,270357305,8.8707095948e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,5,270357306,8.8113703506e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,6,270357307,8.8744808909e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,7,270357308,8.7564410619e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,8,270357309,8.8635254739e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,9,270357310,8.8864649681e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,10,270357311,8.8621040767e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,11,270357312,8.7866489729e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,12,270357313,8.8456727374e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,13,270357314,8.8535079258e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,14,270357315,8.8633662907e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,15,270357316,8.7887014300e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,16,270357317,8.8401339034e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,17,270357318,8.7884013281e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,18,270357319,8.8501368370e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,19,270357320,8.8247967220e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.720000,20,270357321,8.8328154380e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
