alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.000000,0.200000,0.370000,1,20453802,7.1379034181e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,2,20453803,7.1629990859e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,3,20453804,7.0849130513e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,4,20453805,7.1593240150e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,5,20453806,7.1577801423e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,6,20453807,7.0637981287e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,7,20453808,7.0503484518e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,8,20453809,7.0558815892e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,9,20453810,7.0175611191e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,10,20453811,7.2096940593e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,11,20453812,7.0335366570e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,12,20453813,7.0930835796e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,13,20453814,7.1097467920e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,14,20453815,7.1233723796e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,15,20453816,7.0666562780e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,16,20453817,7.0844493181e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,17,20453818,7.1123345854e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,18,20453819,7.0928150797e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,19,20453820,7.1413102776e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.370000,20,20453821,7.2142808970e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
