alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.000000,0.680000,1,270256902,8.4935853536e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,2,270256903,8.5446071739e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,3,270256904,8.5603888144e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,4,270256905,8.5340380304e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,5,270256906,8.5876503120e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,6,270256907,8.5603899255e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,7,270256908,8.4999614312e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,8,270256909,8.6185000259e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,9,270256910,8.5151093040e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,10,270256911,8.5175688681e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,11,270256912,8.5847323507e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,12,270256913,8.5229594460e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,13,270256914,8.4955053896e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,14,270256915,8.5504395875e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,15,270256916,8.5367295353e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,16,270256917,8.5571262207e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,17,270256918,8.5521916344e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,18,270256919,8.5457552217e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,19,270256920,8.5374257941e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.680000,20,270256921,8.5581764416e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
