alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.500000,0.200000,0.300000,1,520453102,6.5999253584e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,2,520453103,6.6779027623e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,3,520453104,6.6271888881e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,4,520453105,6.6964506004e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,5,520453106,6.6896715047e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,6,520453107,6.7655010316e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,7,520453108,6.7555987794e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,8,520453109,6.7497656350e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,9,520453110,6.7833706462e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,10,520453111,6.7687179937e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,11,520453112,6.6688600800e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,12,520453113,6.6447205160e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,13,520453114,6.6192317255e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,14,520453115,6.6734019538e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,15,520453116,6.7337311761e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,16,520453117,6.7529215213e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,17,520453118,6.7087275629e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,18,520453119,6.7102178667e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,19,520453120,6.7095930466e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.200000,0.300000,20,520453121,6.7240020814e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
