alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.200000,0.670000,1,270456802,8.6902611744e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,2,270456803,8.6664577095e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,3,270456804,8.7073449356e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,4,270456805,8.6041458469e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,5,270456806,8.7011215525e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,6,270456807,8.6873946274e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,7,270456808,8.6883815700e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,8,270456809,8.6925461304e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,9,270456810,8.7129731640e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,10,270456811,8.6801296542e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,11,270456812,8.7392918471e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,12,270456813,8.7283225358e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,13,270456814,8.6757411415e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,14,270456815,8.6680907649e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,15,270456816,8.6872016967e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,16,270456817,8.6246373508e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,17,270456818,8.6887341382e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,18,270456819,8.6532467038e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,19,270456820,8.6269686597e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.200000,0.670000,20,270456821,8.7262324127e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
