alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.000000,0.030000,1,270250402,1.9036077476e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,2,270250403,1.6753770033e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,3,270250404,1.5461877166e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,4,270250405,1.4057882947e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,5,270250406,9.5185455767e-02,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,6,270250407,1.3892036145e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,7,270250408,2.2164798238e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,8,270250409,1.7830870521e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,9,270250410,1.7759059204e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,10,270250411,2.0333687036e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,11,270250412,1.4918080004e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,12,270250413,2.1280934808e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,13,270250414,1.6439549108e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,14,270250415,1.9860762870e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,15,270250416,1.7965732851e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,16,270250417,2.0964464221e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,17,270250418,2.0464131541e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,18,270250419,1.2285962774e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,19,270250420,1.7287034296e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.030000,20,270250421,1.9607574121e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
