alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.000000,1.000000,1,270260102,9.6145530490e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,2,270260103,9.6936213375e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,3,270260104,9.6476646771e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,4,270260105,9.5888563776e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,5,270260106,9.6348572775e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,6,270260107,9.5669655898e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,7,270260108,9.6428755784e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,8,270260109,9.6166748529e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,9,270260110,9.6184079816e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,10,270260111,9.5656183444e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,11,270260112,9.6579903109e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,12,270260113,9.6663670535e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,13,270260114,9.6398829445e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,14,270260115,9.6632257139e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,15,270260116,9.6299996974e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,16,270260117,9.5738242807e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,17,270260118,9.5505071011e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,18,270260119,9.6891046873e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,19,270260120,9.6725438631e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,1.000000,20,270260121,9.6884919848e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
