alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.000000,0.200000,0.360000,1,20453702,6.9533347537e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,2,20453703,6.9492402187e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,3,20453704,7.1244019660e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,4,20453705,6.9854003150e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,5,20453706,6.9463185645e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,6,20453707,7.0434585587e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,7,20453708,7.1044184608e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,8,20453709,7.0271083177e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,9,20453710,7.1397499591e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,10,20453711,6.9915676309e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,11,20453712,7.1430566394e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,12,20453713,7.0129424990e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,13,20453714,7.0185617080e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,14,20453715,7.1180196521e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,15,20453716,7.0278076861e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,16,20453717,7.0186441542e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,17,20453718,7.0273114962e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,18,20453719,6.9821276421e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,19,20453720,6.9820021577e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.360000,20,20453721,7.0738777778e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
