alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.200000,0.180000,1,770451902,5.6467750350e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,2,770451903,5.6596389469e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,3,770451904,5.7140553177e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,4,770451905,5.5214062008e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,5,770451906,5.6297056567e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,6,770451907,5.7510032594e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,7,770451908,5.6932461960e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,8,770451909,5.6701438986e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,9,770451910,5.6707186216e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,10,770451911,5.7475009432e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,11,770451912,5.6738471190e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,12,770451913,5.5196081360e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,13,770451914,5.5965572972e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,14,770451915,5.7513662925e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,15,770451916,5.5053559500e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,16,770451917,5.6759582470e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,17,770451918,5.8103967195e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,18,770451919,5.7579870503e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,19,770451920,5.7724131773e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.180000,20,770451921,5.6431609146e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
