alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.100000,0.390000,1,270354002,7.2256254020e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,2,270354003,7.3219226373e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,3,270354004,7.3921074807e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,4,270354005,7.1411866811e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,5,270354006,7.2623884985e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,6,270354007,7.2665472784e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,7,270354008,7.1656877198e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,8,270354009,7.2800452183e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,9,270354010,7.3868308124e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,10,270354011,7.3008823657e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,11,270354012,7.3081923684e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,12,270354013,7.2815207075e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,13,270354014,7.3022759125e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,14,270354015,7.3643798716e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,15,270354016,7.2022472160e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,16,270354017,7.2895900533e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,17,270354018,7.3463804499e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,18,270354019,7.2652358898e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,19,270354020,7.2505154142e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.390000,20,270354021,7.3335483752e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
