alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.500000,0.000000,0.620000,1,520256302,8.3479087712e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,2,520256303,8.3667889869e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,3,520256304,8.3976901360e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,4,520256305,8.3563115750e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,5,520256306,8.2978917237e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,6,520256307,8.3334724167e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,7,520256308,8.2745674318e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,8,520256309,8.3481711494e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,9,520256310,8.3201289099e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,10,520256311,8.3176690052e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,11,520256312,8.2941503279e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,12,520256313,8.3814876957e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,13,520256314,8.2903516565e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,14,520256315,8.3553579057e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,15,520256316,8.3666791867e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,16,520256317,8.3017950018e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,17,520256318,8.3518561895e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,18,520256319,8.3812499929e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,19,520256320,8.4302669520e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.620000,20,520256321,8.3446260760e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
