alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.500000,0.000000,0.710000,1,520257202,8.6837644913e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,2,520257203,8.7026475235e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,3,520257204,8.7047683597e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,4,520257205,8.7627444592e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,5,520257206,8.7525462350e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,6,520257207,8.7193266652e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,7,520257208,8.6824904695e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,8,520257209,8.6981321169e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,9,520257210,8.7690625671e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,10,520257211,8.7176208908e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,11,520257212,8.7571149825e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,12,520257213,8.7312656035e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,13,520257214,8.7223793243e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,14,520257215,8.6944168570e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,15,520257216,8.7779216896e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,16,520257217,8.6922164889e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,17,520257218,8.6884613348e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,18,520257219,8.7151679297e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,19,520257220,8.7251943904e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.500000,0.000000,0.710000,20,520257221,8.6819464094e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
