alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.100000,0.040000,1,770350502,5.1569089095e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,2,770350503,4.8410397538e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,3,770350504,5.4970069666e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,4,770350505,5.1989990861e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,5,770350506,4.4580665459e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,6,770350507,5.2049479549e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,7,770350508,4.8717787526e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,8,770350509,4.5947683857e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,9,770350510,4.2765096840e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,10,770350511,5.5466456251e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,11,770350512,4.8275906298e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,12,770350513,6.5084088694e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,13,770350514,6.8741359481e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,14,770350515,5.9076732111e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,15,770350516,7.7410261937e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,16,770350517,7.5918108822e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,17,770350518,6.0623017195e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,18,770350519,6.4855258672e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,19,770350520,5.6578158990e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.040000,20,770350521,5.2129836657e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
