alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.000000,0.200000,0.890000,1,20459002,9.3831481307e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,2,20459003,9.3893333724e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,3,20459004,9.3433461618e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,4,20459005,9.4048686661e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,5,20459006,9.4295897537e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,6,20459007,9.3354221893e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,7,20459008,9.3617554908e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,8,20459009,9.3539706721e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,9,20459010,9.4039803451e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,10,20459011,9.4109944903e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,11,20459012,9.4606424498e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,12,20459013,9.3833686723e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,13,20459014,9.4315262688e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,14,20459015,9.4351306925e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,15,20459016,9.3294212222e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,16,20459017,9.3790223108e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,17,20459018,9.3809612711e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,18,20459019,9.3538495926e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,19,20459020,9.4308047632e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.200000,0.890000,20,20459021,9.5011909323e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
