alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.000000,0.100000,0.050000,1,20350602,5.2443975480e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,2,20350603,6.1164364461e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,3,20350604,5.1177265328e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,4,20350605,5.4987034322e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,5,20350606,6.2235018716e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,6,20350607,6.2198408354e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,7,20350608,5.6571193870e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,8,20350609,5.3525697816e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,9,20350610,6.0916615059e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,10,20350611,5.7262016546e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,11,20350612,5.8028688269e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,12,20350613,5.9464316950e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,13,20350614,6.2078417668e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,14,20350615,6.5907563829e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,15,20350616,5.5172094686e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,16,20350617,6.4282314940e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,17,20350618,6.2231411739e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,18,20350619,5.8782490520e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,19,20350620,5.3833577272e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.000000,0.100000,0.050000,20,20350621,6.4332157040e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
