alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.100000,0.500000,1,770355102,7.9961361145e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,2,770355103,7.9560963116e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,3,770355104,8.0727304139e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,4,770355105,8.0687770208e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,5,770355106,8.0154119670e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,6,770355107,7.9285847196e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,7,770355108,7.9485954226e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,8,770355109,8.0474136271e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,9,770355110,7.9563766558e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,10,770355111,8.0562456463e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,11,770355112,8.0223232181e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,12,770355113,8.0401103554e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,13,770355114,8.0102038187e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,14,770355115,8.0317131147e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,15,770355116,7.9950934650e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,16,770355117,8.0005973301e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,17,770355118,7.9966933947e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,18,770355119,7.8933107416e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,19,770355120,7.9728787651e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.500000,20,770355121,7.9756073417e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
