alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.200000,0.580000,1,770455902,8.3705196801e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,2,770455903,8.3560246226e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,3,770455904,8.3844537408e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,4,770455905,8.4226757564e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,5,770455906,8.4265422322e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,6,770455907,8.4219223546e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,7,770455908,8.4252644944e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,8,770455909,8.3357549201e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,9,770455910,8.3179142705e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,10,770455911,8.4217588726e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,11,770455912,8.3427609174e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,12,770455913,8.3595964008e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,13,770455914,8.4047850633e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,14,770455915,8.4673787126e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,15,770455916,8.3268282189e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,16,770455917,8.3937468436e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,17,770455918,8.4130512583e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,18,770455919,8.3443699131e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,19,770455920,8.3637754025e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.580000,20,770455921,8.3620990623e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
