alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.100000,0.600000,1,270356102,8.3926644792e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,2,270356103,8.4331800278e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,3,270356104,8.3836361981e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,4,270356105,8.3585420508e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,5,270356106,8.3669909267e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,6,270356107,8.3024387248e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,7,270356108,8.4224019219e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,8,270356109,8.2736498620e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,9,270356110,8.3296865217e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,10,270356111,8.3733931616e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,11,270356112,8.3660747685e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,12,270356113,8.3600807512e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,13,270356114,8.4023282667e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,14,270356115,8.3228196606e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,15,270356116,8.4142216991e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,16,270356117,8.3839926672e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,17,270356118,8.3802545636e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,18,270356119,8.3670670444e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,19,270356120,8.3558060406e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.600000,20,270356121,8.3571411177e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
