alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.100000,0.860000,1,770358702,9.3646040379e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,2,770358703,9.4095478456e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,3,770358704,9.4287153247e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,4,770358705,9.3987153317e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,5,770358706,9.4043148970e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,6,770358707,9.3870650264e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,7,770358708,9.4218394811e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,8,770358709,9.3979336341e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,9,770358710,9.3962971818e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,10,770358711,9.4090780593e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,11,770358712,9.3932814156e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,12,770358713,9.3295379439e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,13,770358714,9.4507529110e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,14,770358715,9.4077535317e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,15,770358716,9.3962686326e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,16,770358717,9.3392887050e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,17,770358718,9.4026026627e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,18,770358719,9.4028511241e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,19,770358720,9.4585078549e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.860000,20,770358721,9.4084914909e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
