alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.000000,0.770000,1,270257802,8.8974050190e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,2,270257803,8.8770428618e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,3,270257804,8.8730145686e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,4,270257805,8.8190378873e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,5,270257806,8.9054958974e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,6,270257807,8.8795325202e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,7,270257808,8.8576470127e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,8,270257809,8.9183489582e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,9,270257810,8.8810062436e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,10,270257811,8.9277878315e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,11,270257812,8.9133490340e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,12,270257813,8.8901598176e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,13,270257814,8.9144090476e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,14,270257815,8.8234544446e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,15,270257816,8.8855250062e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,16,270257817,8.8868220402e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,17,270257818,8.8889944302e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,18,270257819,8.8742391663e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,19,270257820,8.8105766348e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.000000,0.770000,20,270257821,8.8764187403e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
