alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.250000,0.100000,0.680000,1,270356902,8.6903815561e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,2,270356903,8.6717951540e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,3,270356904,8.7194408205e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,4,270356905,8.6900016379e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,5,270356906,8.6685419783e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,6,270356907,8.6651597609e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,7,270356908,8.6595237176e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,8,270356909,8.7004950237e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,9,270356910,8.6686694220e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,10,270356911,8.6848653748e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,11,270356912,8.6550463616e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,12,270356913,8.6619877900e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,13,270356914,8.6085653838e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,14,270356915,8.7573847935e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,15,270356916,8.6659577610e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,16,270356917,8.7095909954e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,17,270356918,8.6707158919e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,18,270356919,8.6651772085e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,19,270356920,8.5943058808e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.250000,0.100000,0.680000,20,270356921,8.6385439724e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
