alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.200000,0.870000,1,770458802,9.4595059605e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,2,770458803,9.4849215939e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,3,770458804,9.4684321463e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,4,770458805,9.4529209588e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,5,770458806,9.4136413770e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,6,770458807,9.4303954210e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,7,770458808,9.4270301780e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,8,770458809,9.4759284218e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,9,770458810,9.4736244930e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,10,770458811,9.4437111738e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,11,770458812,9.4129908609e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,12,770458813,9.4500630298e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,13,770458814,9.4600610992e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,14,770458815,9.4613450050e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,15,770458816,9.4745757829e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,16,770458817,9.4612167252e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,17,770458818,9.4552242533e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,18,770458819,9.3633871307e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,19,770458820,9.4631501868e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.200000,0.870000,20,770458821,9.4592951664e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
