alpha,tau,D,path,seed,Ebar,t_trans,T,dt,p_edge,net_seed,n_edges,n_triangles
0.750000,0.100000,0.420000,1,770354302,7.6070749699e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,2,770354303,7.5555777792e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,3,770354304,7.4640522148e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,4,770354305,7.5602329326e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,5,770354306,7.5393483433e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,6,770354307,7.5307262419e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,7,770354308,7.5909237525e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,8,770354309,7.6153227409e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,9,770354310,7.5658979699e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,10,770354311,7.7005680457e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,11,770354312,7.5625304466e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,12,770354313,7.5496774976e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,13,770354314,7.5608062062e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,14,770354315,7.5390150603e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,15,770354316,7.5891340309e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,16,770354317,7.5427606483e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,17,770354318,7.4616236085e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,18,770354319,7.5103252090e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,19,770354320,7.5509134168e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
0.750000,0.100000,0.420000,20,770354321,7.5919540370e-01,500.00,2000.00,0.0100,0.30,20250101,378,598
